company,ticker,volatility,liquidity
Air Munegu International,AMI,1.5,3.2
B&C Laser,BCL,2.8,4.1
Cambridge City Football Club,CCFC,1.0,2.5
Coaks,COAK,1.2,3.0
Cryptokrone,CRYPTO,5.0,7.3
Hexium,HEX,3.5,5.6
Happy Rabbit Pharma,HRP,2.1,3.8
Minerrain Tout Terrain,MINET,4.2,6.0
Smith Motors,SMITH,2.7,4.5
New Bank of Shanghai,NBOS,1.8,3.7
Blue Bacon Batteries,BBB,3.9,6.2
Chargex Bank,CHARGEX,2.0,3.9
Costal Construction and Engineering Group,CCEG,1.4,2.9
Ellis & Vincent Transportation,EVT,2.3,4.0
Industrial Forestry Inc.,IND,1.9,3.4
PyraMD,PYRA,3.7,5.0
RD Consulting Group,RD,1.6,3.3
SharePhase,SPHASE,4.5,6.7
Solarama,SOLAR,2.9,4.6
Wang Telecommunication,WANG,2.4,4.2
